title,description,skill,link
Yazýlým Geliþtirme Uzmaný,CGE KURUMSAL YÖNETÝM DEÐER. VE YAZILIM HÝZM. A.Þ.,"powerpoint , mysql , java , word , php , python , excel",https://www.kariyer.net//is-ilani/cge-kurumsal-yonetim-deger-ve-yazilim-hizm-a-s-yazilim-gelistirme-uzmani-3427764
Yazýlým Geliþtirme Uzmaný,FABAY TURÝZM YATIRIMLARI ÝNÞ.A.Þ.,"crm , oracle , java , microsoft , erp , sql",https://www.kariyer.net//is-ilani/fabay-turizm-yatirimlari-ins-a-s-yazilim-gelistirme-uzmani-3436037
Yazýlým Uzmaný,Bizim Toptan Satýþ Maðazalarý A.Þ.,azure,https://www.kariyer.net//is-ilani/bizim-toptan-satis-magazalari-a-s-yazilim-uzmani-3424178
Yazýlým Geliþtirme Uzmaný,KAREL ELEKTRONÝK SANAYÝ VE TÝCARET A.Þ.,"git , sql , web service",https://www.kariyer.net//is-ilani/karel-elektronik-sanayi-ve-ticaret-a-s-yazilim-gelistirme-uzmani-3335347
Yazýlým Geliþtirme Uzmaný,DURMAZLAR MAKÝNA SANAYÝÝ VE TÝCARETA.Þ.,"erp , php , oracle",https://www.kariyer.net//is-ilani/durmazlar-makina-sanayii-ve-ticareta-s-yazilim-gelistirme-uzmani-3439942
Yazýlým Geliþtirme Uzmaný,Sentez Saðlýk Hizmetleri A.Þ.,"git , medical , bootstrap , mvc , java , design , management , sql",https://www.kariyer.net//is-ilani/sentez-saglik-hizmetleri-a-s-yazilim-gelistirme-uzmani-3457063
.Net Yazýlým Geliþtirme Uzmaný,EBG Biliþim Teknolojileri ve Hizmetleri A.Þ.,"java , html , mvc",https://www.kariyer.net//is-ilani/ebg-bilisim-teknolojileri-ve-hizmetleri-a-s--net-yazilim-gelistirme-uzmani-3366799
Yazýlým Geliþtirme Uzmaný,Uyumsoft Bilgi Sistemleri ve Teknolojileri A.Þ,"erp , microsoft",https://www.kariyer.net//is-ilani/uyumsoft-bilgi-sistemleri-ve-teknolojileri-a-s-yazilim-gelistirme-uzmani-3448095
"Linux Engineer – HMI Domain, Research &...",Siemens,"legal , manufacturing",https://www.kariyer.net//is-ilani/siemens-linux-engineer-hmi-domain-research-3389315
Yazýlým Geliþtirme Uzmaný,GENERAL TEKSTÝL SAN. VE TÝC.A.Þ.,"erp , microsoft , mvc",https://www.kariyer.net//is-ilani/general-tekstil-san-ve-tic-a-s-yazilim-gelistirme-uzmani-3422951
.Net Developer,BURGAN BANK A.Þ.,"javascript , elasticsearch , sql , redis",https://www.kariyer.net//is-ilani/burgan-bank-a-s--net-developer-3421540
Yazýlým Geliþtirme Uzmaný,SYK GÜMRÜK MÜÞAVÝRLÝÐÝ ANONÝM ÞÝRKETÝ,"asp , cs , html , sql , python",https://www.kariyer.net//is-ilani/syk-gumruk-musavirligi-anonim-sirketi-yazilim-gelistirme-uzmani-3307037
Yazýlým Geliþtirme Uzmaný,ZER A.Þ,"restful , scrum , html5 , javascript , bootstrap , azure , microsoft , sql",https://www.kariyer.net//is-ilani/zer-a-s-yazilim-gelistirme-uzmani-3212256
PL/SQL Yazýlým Uzmaný,Vizyoneks Bilgi Teknolojileri A.Þ.,"ajax , oracle , cs , xml , java",https://www.kariyer.net//is-ilani/vizyoneks-bilgi-teknolojileri-a-s-pl-sql-yazilim-uzmani-3150054
.Net Yazýlým Geliþtirme Uzmaný,Vizyoneks Bilgi Teknolojileri Ltd. Þti.,"ajax , oracle , cs , xml , java , microsoft",https://www.kariyer.net//is-ilani/vizyoneks-bilgi-teknolojileri-ltd-sti--net-yazilim-gelistirme-uzmani-517928
Yazýlým Geliþtirme Uzmaný,Tron Elektronik Sistemler A.Þ.,"linux , html , microsoft",https://www.kariyer.net//is-ilani/tron-elektronik-sistemler-a-s-yazilim-gelistirme-uzmani-3263277
Full Stack Yazýlým Geliþtirme Uzmaný,Bilmed Bilgisayar ve Yazýlým A.Þ,"scrum , html5 , javascript , bootstrap , mvc , sql",https://www.kariyer.net//is-ilani/bilmed-bilgisayar-ve-yazilim-a-s-full-stack-yazilim-gelistirme-uzmani-3459189
Software Developer,Siemens,"git , legal , programming , software development , javascript , typescript , energy , design , research , python , engineering",https://www.kariyer.net//is-ilani/siemens-software-developer-3459046
Yazýlým Geliþtirme Uzmaný,Giltaþ Genel Pazarlama ve Ticaret A.Þ.,"photoshop , design , erp , sql , postgresql",https://www.kariyer.net//is-ilani/giltas-genel-pazarlama-ve-ticaret-a-s-yazilim-gelistirme-uzmani-3451024
Embedded Software Development Engineer –...,Siemens,"legal , manufacturing",https://www.kariyer.net//is-ilani/siemens-embedded-software-development-engineer-3387531
Yazýlým Geliþtirme Uzmaný,ODELO OTOMOTÝV AYDINLATMA A.Þ.,"javascript , linq , microsoft",https://www.kariyer.net//is-ilani/odelo-otomotiv-aydinlatma-a-s-yazilim-gelistirme-uzmani-3111867
Yazýlým Geliþtirme Uzmaný,Dora Biliþim Teknolojileri,"html5 , mvc , cs , java , erp , sql",https://www.kariyer.net//is-ilani/dora-bilisim-teknolojileri-yazilim-gelistirme-uzmani-3329827
Yazýlým Geliþtirme Uzmaný,Gizli Firma,"erp , java , sql , oracle",https://www.kariyer.net//is-ilani/gizli-firma-yazilim-gelistirme-uzmani-3032132
Yazýlým Geliþtirme Uzmaný,ADEN PATENT VE EÐÝTÝM DANIÞMANLIK A.Þ.,"plesk , javascript , mysql , laravel , java , linux , php , codeigniter",https://www.kariyer.net//is-ilani/aden-patent-ve-egitim-danismanlik-a-s-yazilim-gelistirme-uzmani-2525866
Yazýlým Geliþtirme Uzmaný,AKAL TÝC.VE TEKS.SAN.LTD.ÞTÝ,"restful , html5 , bootstrap , typescript , mvc , java",https://www.kariyer.net//is-ilani/akal-tic-ve-teks-san-ltd-sti-yazilim-gelistirme-uzmani-3429606
Yazýlým Geliþtirme Uzmaný,Aydýnlý Grup,"html5 , javascript , wpf , mvc , cs , sql",https://www.kariyer.net//is-ilani/aydinli-grup-yazilim-gelistirme-uzmani-2833319
Yazýlým Geliþtirme Uzmaný,BEYÇELÝK GESTAMP OTOMOTÝV SANAYÝ A.Þ.,"restful , ajax , programming , html5 , javascript , mvc , sap , xml , design , microsoft , erp , sql , microsoft sql server , json",https://www.kariyer.net//is-ilani/beycelik-gestamp-otomotiv-sanayi-a-s-yazilim-gelistirme-uzmani-3282536
Yazýlým Geliþtirme Uzmaný,TYX TEKNOLOJÝ,"html5 , javascript , android , cs , python",https://www.kariyer.net//is-ilani/tyx-teknoloji-yazilim-gelistirme-uzmani-3443630
Yazýlým Geliþtirme Uzmaný,TRIGON TEKNOLOJÝ OTOMASYON SÝSTEMLERÝ SANAYÝ ANONÝM ÞÝRKETÝ,"xml , sql , json",https://www.kariyer.net//is-ilani/trigon-teknoloji-otomasyon-sistemleri-sanayi-anoni-yazilim-gelistirme-uzmani-3450098
Yazýlým Geliþtirme Uzmaný,SOHO MEDYA,"ajax , javascript , cs , laravel , mysql , html , xml , php",https://www.kariyer.net//is-ilani/soho-medya-yazilim-gelistirme-uzmani-3450046
Software Developer,MP TURKEY TURÝZM A.Þ. - MEETING POINT TURKEY,"git , programming , web service , javascript , typescript , xml , design , json",https://www.kariyer.net//is-ilani/mp-turkey-turizm-a-s-meeting-point-turkey-software-developer-3447118
Back End Developer,MS TEKNOLOJÝ TÝCARET LÝMÝTED ÞÝRKETÝ,"ajax , html5 , mvc , laravel , mysql , postgresql",https://www.kariyer.net//is-ilani/ms-teknoloji-ticaret-limited-sirketi-back-end-developer-3459857
Android Geliþtirici,Pratik Aday Servisi,"git , android , java",https://www.kariyer.net//is-ilani/pratik-aday-servisi-android-gelistirici-3461013
Yazýlým Geliþtirme Uzmaný,Egebimtes Bilgi Teknolojileri A.Þ.,"javascript , mvc , cs , html , sql",https://www.kariyer.net//is-ilani/egebimtes-bilgi-teknolojileri-a-s-yazilim-gelistirme-uzmani-3449632
Software Development Specialist,Gürok,"git , scrum , mvc , html , microsoft , php , postgresql , health , programming , ii , cs , agile development , insurance , coding , javascript , apache , design , sql , software development , azure , engineering",https://www.kariyer.net//is-ilani/gurok-software-development-specialist-3445684
Yazýlým Geliþtirme Uzmaný,Metafor Biliþim Dýþ Ticaret Limited Þirketi,"javascript , cs , html , sql , postgresql",https://www.kariyer.net//is-ilani/metafor-bilisim-dis-ticaret-limited-sirketi-yazilim-gelistirme-uzmani-3448236
Yazýlým Geliþtirme Uzmaný,OPAK LENS SANAYÝ VE TÝCARET  A.Þ.,"erp , microsoft , sql",https://www.kariyer.net//is-ilani/opak-lens-sanayi-ve-ticaret-a-s-yazilim-gelistirme-uzmani-3446936
Yazýlým Geliþtirme Uzmaný - Microsoft .Net (C#),MerIT Biliþim Sanayi ve Ticaret Limited Þirketi,"ajax , html5 , javascript , bootstrap , mvc , xml , design , microsoft , json",https://www.kariyer.net//is-ilani/merit-bilisim-sanayi-ve-ticaret-limited-sirketi-yazilim-gelistirme-uzmani-microsoft-net-c-3445216
Yazýlým Geliþtirme Uzmaný,Yeþilýrmak Elektrik Daðýtým A.Þ.,"ubuntu , javascript , bootstrap , cs , html , wordpress",https://www.kariyer.net//is-ilani/yesilirmak-elektrik-dagitim-a-s-yazilim-gelistirme-uzmani-3407349
Yazýlým Geliþtirme Uzmaný,KoçSistem,"javascript , mvc",https://www.kariyer.net//is-ilani/kocsistem-yazilim-gelistirme-uzmani-3433069
Train & Work Kampý Baþlýyor!,ARCHÝTECHT BÝLÝÞÝM SÝSTEMLERÝ VE PAZARLAMA TÝCARET ANONÝM ÞÝRKETÝ,"javascript , youtube",https://www.kariyer.net//is-ilani/architecht-bilisim-sistemleri-ve-pazarlama-ticaret-train-work-kampi-basliyor-3440580
Yazýlým Geliþtirme Uzmaný,Polat Enerji Sanayi ve Ticaret A.Þ,"asp , php , sql , mvc",https://www.kariyer.net//is-ilani/polat-enerji-sanayi-ve-ticaret-a-s-yazilim-gelistirme-uzmani-3438734
Yazýlým Geliþtirme Uzmaný,B.E.K E-BÝLGÝ TEKNOLOJÝ DANIÞMANLIK SAN.TÝC.LTD.ÞT,"git , ajax , javascript , redis , html , sql",https://www.kariyer.net//is-ilani/b-e-k-e-bilgi-teknoloji-danismanlik-san-tic-ltd-st-yazilim-gelistirme-uzmani-3436036
Yazýlým Geliþtirme Uzmaný,B.E.K E-BÝLGÝ TEKNOLOJÝ DANIÞMANLIK SAN.TÝC.LTD.ÞT,"git , ajax , javascript , redis , html , sql",https://www.kariyer.net//is-ilani/b-e-k-e-bilgi-teknoloji-danismanlik-san-tic-ltd-st-yazilim-gelistirme-uzmani-3436011
Software Development Engineer - C/ C++,Siemens,"legal , manufacturing , design , software development",https://www.kariyer.net//is-ilani/siemens-software-development-engineer-c-c-3368470
Software Development Specialist - Hybrid,Berqnet,"restful , elasticsearch , review , software development , xml , redis , design , golang , technical support , json , python",https://www.kariyer.net//is-ilani/berqnet-software-development-specialist-hybrid-3397768
Yazýlým Geliþtirme Uzmaný,AÇILIMSOFT YAZILIM TEKNOLOJÝ ANONÝM ÞÝRKETÝ,"git , html5 , ii , debugging , cs , linux , mvc , design , microsoft , linq",https://www.kariyer.net//is-ilani/acilimsoft-yazilim-teknoloji-anonim-sirketi-yazilim-gelistirme-uzmani-3435365
Yazýlým Geliþtirme Uzmaný (.Net),Argedan Biliþim A.Þ.,"restful , ajax , elasticsearch , javascript , cs , xml , redis , microsoft , sql , microsoft sql server , json",https://www.kariyer.net//is-ilani/argedan-bilisim-a-s-yazilim-gelistirme-uzmani-net-3430849
Yazýlým Geliþtirme Uzmaný,Mosaþ Akýllý Ulaþým Teknolojileri A.Þ.,"git , ajax , web service , javascript , wpf , bootstrap , cs , mvc , html",https://www.kariyer.net//is-ilani/mosas-akilli-ulasim-teknolojileri-a-s-yazilim-gelistirme-uzmani-3434246
Yazýlým Geliþtirme Uzmaný,AVES ENERJÝ YAÐVE GIDA SANAYÝ ANONÝM ÞÝRKETÝ,"erp , java , sql",https://www.kariyer.net//is-ilani/aves-enerji-yagve-gida-sanayi-anonim-sirketi-yazilim-gelistirme-uzmani-3432169
"Frontend Developers (Angular, React, Vue.Js)",Mercedes Benz Otomotiv Ticaret ve Hizmetler A.Þ.,"project management , scrum , html5 , javascript , bootstrap , typescript , azure , cs , mvc , design , management , research , delivery , test automation , german",https://www.kariyer.net//is-ilani/mercedes-benz-otomotiv-ticaret-ve-hizmetler-a-s-frontend-developers-angular-react-vue-js-3429381
Full-Stack Developers (Java - .Net),Mercedes Benz Otomotiv Ticaret ve Hizmetler A.Þ.,"project management , scrum , web service , javascript , typescript , azure , mvc , java , design , management , research , delivery , test automation , sql , german",https://www.kariyer.net//is-ilani/mercedes-benz-otomotiv-ticaret-ve-hizmetler-a-s-full-stack-developers-java-net-3429372
"Backend Developers (Java, Spring, J2ee, .Net)",Mercedes Benz Otomotiv Ticaret ve Hizmetler A.Þ.,"project management , scrum , web service , azure , mvc , oracle , java , design , j2ee , management , research , delivery , postgresql , sql , german",https://www.kariyer.net//is-ilani/mercedes-benz-otomotiv-ticaret-ve-hizmetler-a-s-backend-developers-java-spring-j2ee-net-3429291
Yazýlým Geliþtirme Uzmaný,TERACÝTY YAZILIM TEKNOLOJÝLERÝ SANAYÝ VE TÝCARET ANONÝM ÞÝRKETÝ,"android , sql , oracle , mysql",https://www.kariyer.net//is-ilani/teracity-yazilim-teknolojileri-sanayi-ve-ticaret-a-yazilim-gelistirme-uzmani-3420951
WinCC OA Engineer,Siemens,"legal , software development , manufacturing , agile development , engineering",https://www.kariyer.net//is-ilani/siemens-wincc-oa-engineer-3418624
Software Development Engineer - C++,Siemens,"legal , manufacturing",https://www.kariyer.net//is-ilani/siemens-software-development-engineer-c-3418626
Software Development Engineer - C++,Siemens,"legal , manufacturing",https://www.kariyer.net//is-ilani/siemens-software-development-engineer-c-3409190
PHP Yazýlým Uzmaný,MARKAMÝX GÝYÝM SANAYÝ TÝCARET LÝMÝTED ÞÝRKETÝ,"javascript , php , mysql , html5",https://www.kariyer.net//is-ilani/markamix-giyim-sanayi-ticaret-limited-sirketi-php-yazilim-uzmani-3463442
PHP Yazýlým Uzmaný,Moda Selvim,"laravel , php , mysql",https://www.kariyer.net//is-ilani/moda-selvim-php-yazilim-uzmani-3459820
PHP Yazýlým Uzmaný,Doruk Kurumsal Çözüm Ýletiþim Hizmetleri ve Pazar,"git , crm , html5 , javascript , cs , mvc , mysql , erp , php",https://www.kariyer.net//is-ilani/doruk-kurumsal-cozum-iletisim-hizmetleri-ve-pazar-php-yazilim-uzmani-2642108
PHP Yazýlým Uzmaný,GEMP REKLAMCILIK BÝLÝÞÝM HÝZMETLERÝ ELEKTRONÝK TÝCARET VE SANAYÝ ANONÝM ÞÝRKETÝ,"mysql , laravel , cs , html , php",https://www.kariyer.net//is-ilani/gemp-reklamcilik-bilisim-hizmetleri-elektronik-tic-php-yazilim-uzmani-3458378
PHP Yazýlým Uzmaný,T-Soft,"git , elasticsearch , html5 , javascript , mysql , redis , php , postgresql",https://www.kariyer.net//is-ilani/t-soft-php-yazilim-uzmani-3461663
Fullstack PHP Yazýlým Uzmaný,Pratik Aday Servisi,"javascript , cs , html , erp , php",https://www.kariyer.net//is-ilani/pratik-aday-servisi-fullstack-php-yazilim-uzmani-3458306
Senior PHP Yazýlým Uzmaný (Dönemsel),SFS DANIÞMANLIK BÝLGÝ ÝÞLEM SAN.VE DIÞ TÝCARET A.Þ,"javascript , html , php , cs",https://www.kariyer.net//is-ilani/sfs-danismanlik-bilgi-islem-san-ve-dis-ticaret-a-s-senior-php-yazilim-uzmani-donemsel-3434838
PHP Yazýlým Uzmaný,Verymoney,"git , html5 , javascript , cs , laravel , mvc , mysql , php",https://www.kariyer.net//is-ilani/verymoney-php-yazilim-uzmani-3459971
PHP Yazýlým Uzmaný,VIRTARA GROUP BÝLÝÞÝM TEKNOLOJÝLERÝ TÝCARET LÝMÝTED ÞÝRKETÝ,"restful , mvc , laravel , sql , unix , php , json",https://www.kariyer.net//is-ilani/virtara-group-bilisim-teknolojileri-ticaret-limite-php-yazilim-uzmani-3456723
PHP Yazýlým Uzmaný,Kitaplar Gelsin,"javascript , mysql , laravel , woocommerce , wordpress , php , codeigniter , cm , sql",https://www.kariyer.net//is-ilani/kitaplar-gelsin-php-yazilim-uzmani-3444924
Senior Backend Developer,JOTFORM YAZILIM A.Þ,"git , insurance , product management , programming , music , javascript , cs , html , building , design , template , management , course , php , health",https://www.kariyer.net//is-ilani/jotform-yazilim-a-s-senior-backend-developer-3443745
PHP Yazýlým Uzmaný,Segedin Telekomünikasyon,"git , javascript , bootstrap , cs , mvc , html , design , php , sql",https://www.kariyer.net//is-ilani/segedin-telekomunikasyon-php-yazilim-uzmani-3399434
Yazýlým Mimarý,INNOSA YAZILIM TEKNOLOJÝLERÝ A.Þ.,"wpf , oracle , mvc , xml , sql",https://www.kariyer.net//is-ilani/innosa-yazilim-teknolojileri-a-s-yazilim-mimari-3426151
Yazýlým Mimarý,DIGITURK,"javascript , cs",https://www.kariyer.net//is-ilani/digiturk-yazilim-mimari-3382193
"Software Architect – HMI domain, Research &...",Siemens,"legal , manufacturing",https://www.kariyer.net//is-ilani/siemens-software-architect-hmi-domain-research-3448453
Senior Solution Architect,Mercedes Benz Otomotiv Ticaret ve Hizmetler A.Þ.,"scrum , web service , azure , design , sql , german",https://www.kariyer.net//is-ilani/mercedes-benz-otomotiv-ticaret-ve-hizmetler-a-s-senior-solution-architect-3450455
Yazýlým Mimarý,Kafein Yazýlým Hizmetleri Tic. A.Þ.,"git , linq , sql , mvc",https://www.kariyer.net//is-ilani/kafein-yazilim-hizmetleri-tic-a-s-yazilim-mimari-3435675
Software Architect,Siemens,"legal , elasticsearch , product management , programming , review , software development , web service , software architecture , mysql , redis , manufacturing , design , building , management , agile development , postgresql , sql , engineering",https://www.kariyer.net//is-ilani/siemens-software-architect-3423720
Yazýlým Mühendisi (Angular),Türkiye Noterler Birliði,"restful , html5 , javascript , typescript , cs , sharepoint",https://www.kariyer.net//is-ilani/turkiye-noterler-birligi-yazilim-muhendisi-angular-3406652
Yazýlým Mühendisi,Gizli Firma,"erp , linux , postgresql , oracle",https://www.kariyer.net//is-ilani/gizli-firma-yazilim-muhendisi-3456805
Bilgisayar/Elektronik/ Yazýlým Mühendisi,Emko Elektronik San. Tic. A.Þ.,"linux , iso9001",https://www.kariyer.net//is-ilani/emko-elektronik-san-tic-a-s-bilgisayar-elektronik-yazilim-muhendisi-3465371
Mobile Developer 'Digital Channels',Yapý Kredi,"git , software development , android , java , design , swift , engineering",https://www.kariyer.net//is-ilani/yapi-kredi-mobile-developer-digital-channels-3382638
Full Stack Web Developer 'Digital Channels',Yapý Kredi,"git , javascript , oracle , java , html , design , engineering",https://www.kariyer.net//is-ilani/yapi-kredi-full-stack-web-developer-digital-channels-3382630
Yazýlým Geliþtirme Uzmaný,Sistaþ Sayýsal Ýletiþim San. ve Tic. A.Þ.,"git , java , python",https://www.kariyer.net//is-ilani/sistas-sayisal-iletisim-san-ve-tic-a-s-yazilim-gelistirme-uzmani-1849095
Back End Developer,MS TEKNOLOJÝ TÝCARET LÝMÝTED ÞÝRKETÝ,"ajax , html5 , mvc , laravel , mysql , postgresql",https://www.kariyer.net//is-ilani/ms-teknoloji-ticaret-limited-sirketi-back-end-developer-3459857
Android Geliþtirici,Pratik Aday Servisi,"git , android , java",https://www.kariyer.net//is-ilani/pratik-aday-servisi-android-gelistirici-3461013
Junior Full Stack Developer,VÝZÝTEL YAZILIM HÝZMETLERÝ LÝMÝTED ÞÝRKETÝ,"html5 , javascript , android , cs , mysql , webos , php , json",https://www.kariyer.net//is-ilani/vizitel-yazilim-hizmetleri-limited-sirketi-junior-full-stack-developer-3448097
Software Engineer / Junior Software Engineer,Ekinoks Yazýlým Ltd. Þti.,"insurance , programming , software development , design , health , engineering",https://www.kariyer.net//is-ilani/ekinoks-yazilim-ltd-sti-software-engineer-junior-software-engineer-2346625
.Net Developer,KOROZO  AMBALAJ SAN. ve TÝC.A.Þ.,"javascript , html , cs",https://www.kariyer.net//is-ilani/korozo-ambalaj-san-ve-tic-a-s--net-developer-3434909
Yazýlým Mühendisi,BÝLGE BÝLGÝSAYAR YAZILIM DONANIM SAN. TÝC. LTD. Þ,"design , web service , mvc",https://www.kariyer.net//is-ilani/bilge-bilgisayar-yazilim-donanim-san-tic-ltd-s-yazilim-muhendisi-3440680
Software Engineer,SELTEK MAKÝNA MÜHENDÝSLÝK MÜMESSÝLLÝK TAAHHÜT SANAYÝ VE TÝCARET ANONÝM ÞÝRKETÝ,"git , insurance , coding , review , scrum , software development , medical , wpf , compliance , debugging , design , management , health , engineering",https://www.kariyer.net//is-ilani/seltek-makina-muhendislik-mumessillik-taahhut-sana-software-engineer-3464166
Software Engineer – Software Licensing Team,Airties,"git , programming , c programming , debugging , linux , design , wireless , engineering",https://www.kariyer.net//is-ilani/airties-software-engineer-software-licensing-team-3265843
Rtu- Scada Engineer,YEO Teknoloji Enerji ve Endüstri  A.Þ.,"electronics , programming , energy , engineering , microsoft , word , excel",https://www.kariyer.net//is-ilani/yeo-teknoloji-enerji-ve-endustri-a-s-rtu-scada-engineer-3357625
Relay Engineer,YEO Teknoloji Enerji ve Endüstri  A.Þ.,"electronics , programming , energy , compliance , engineering , microsoft , word , sa , excel",https://www.kariyer.net//is-ilani/yeo-teknoloji-enerji-ve-endustri-a-s-relay-engineer-3357599
Transmission Network Engineer,YEO Teknoloji Enerji ve Endüstri  A.Þ.,"electronics , energy , engineering , linux , communication , microsoft , word , management , excel",https://www.kariyer.net//is-ilani/yeo-teknoloji-enerji-ve-endustri-a-s-transmission-network-engineer-3357611
Güç Elektroniði Yazýlým Mühendisi,EnginSoft Turkey,"git , matlab , powerpoint , word , excel",https://www.kariyer.net//is-ilani/enginsoft-turkey-guc-elektronigi-yazilim-muhendisi-3422160
Yazýlým Mühendisi,KABAN MAKÝNA,"erp , sql , mvc",https://www.kariyer.net//is-ilani/kaban-makina-yazilim-muhendisi-3457561
PHP Full Stack Developer,INC DANIÞMANLIK,"git , mysql , laravel , mvc , php",https://www.kariyer.net//is-ilani/inc-danismanlik-php-full-stack-developer-3155832
Software Development Engineer,Ottonom Mühendislik Çözümleri,"git , coding , odoo , management , cs , mysql , xml , html , design , erp , postgresql , python",https://www.kariyer.net//is-ilani/ottonom-muhendislik-cozumleri-software-development-engineer-3287513
Yazýlým Mühendisi,Pratik Aday Servisi,"restful , elasticsearch , redis , cassandra",https://www.kariyer.net//is-ilani/pratik-aday-servisi-yazilim-muhendisi-3463075
Uygulama Yazýlým Mühendisi,Lentatek Uzay Havacýlýk ve Teknoloji A.Þ.,"java , sql , linux",https://www.kariyer.net//is-ilani/lentatek-uzay-havacilik-ve-teknoloji-a-s-uygulama-yazilim-muhendisi-3096989
Yazýlým Mühendisi,PROMEC MÜHENDÝSLÝK LTD ÞTÝ,"linux , sql , python",https://www.kariyer.net//is-ilani/promec-muhendislik-ltd-sti-yazilim-muhendisi-3456162
Junior Yazýlým Mühendisi,PUSULA CALL CENTER,"java , linq , sql , mvc",https://www.kariyer.net//is-ilani/pusula-call-center-junior-yazilim-muhendisi-3457110
Software Engineer,Inventiv,"restful , programming , coding , elearning , mvc , design , agile development , blog , engineering",https://www.kariyer.net//is-ilani/inventiv-software-engineer-3446196
Yazýlým Mühendisi,Alpplas Endüstriyel Yatýrýmlar A.Þ.,"javascript , typescript , cs , html , sql",https://www.kariyer.net//is-ilani/alpplas-endustriyel-yatirimlar-a-s-yazilim-muhendisi-3459068
Yazýlým Mühendisi,Abdioðullarý Plastik ve Ambalaj Sanayi A.Þ.,"javascript , dart , mvc , microsoft , erp , linq , microsoft sql server , sql",https://www.kariyer.net//is-ilani/abdiogullari-plastik-ve-ambalaj-sanayi-a-s-yazilim-muhendisi-3112746
Power System Software Engineer,Siemens,"git , legal , programming , review , software development , german , electrical engineering , energy , manufacturing , research , fortran , delivery , engineering",https://www.kariyer.net//is-ilani/siemens-power-system-software-engineer-3382256
Yazýlým Mühendisi,PUSULA CALL CENTER,"java , linq , sql , mvc",https://www.kariyer.net//is-ilani/pusula-call-center-yazilim-muhendisi-3457101
Field Application Engineer,Vestel A.Þ.,"programming , javascript , cs , linux , html , sale , management , php , sql , engineering",https://www.kariyer.net//is-ilani/vestel-a-s-field-application-engineer-3393129
Part-Time Android/Ios Mobile App Developer,Vestel A.Þ.,"electronics , android , electrical engineering , java , building , design , swift , engineering",https://www.kariyer.net//is-ilani/vestel-a-s-part-time-android-ios-mobile-app-developer-3416566
Yazýlým Mühendisi,ABDULKADÝR ÖZCAN OTOMOTÝV LASTÝK SANVE TÝC.A.Þ.,"ajax , html5 , javascript , oracle , cs , mvc , xml , json",https://www.kariyer.net//is-ilani/abdulkadir-ozcan-otomotiv-lastik-sanve-tic-a-s-yazilim-muhendisi-2849395
Yazýlým Mühendisi,Milenyum Metal Dýþ Tic. ve San.A.Þ.,"restful , javascript , bootstrap , xamarin , cs , mvc , xml , html , microsoft , erp , sql , microsoft sql server , json",https://www.kariyer.net//is-ilani/milenyum-metal-dis-tic-ve-san-a-s-yazilim-muhendisi-3419541
Yazýlým Mühendisi,FOTONÝKS ASKERÝ ELEKTRONÝK VE ELEKTRO OPTÝK SÝS.S,"linux , design",https://www.kariyer.net//is-ilani/fotoniks-askeri-elektronik-ve-elektro-optik-sis-s-yazilim-muhendisi-3132525
Yazýlým Mühendisi,Baykon Endüstriyel Kontrol Sistemleri San. ve Tic.,"html5 , javascript , ubuntu , bootstrap , debian , java , linux , sql",https://www.kariyer.net//is-ilani/baykon-endustriyel-kontrol-sistemleri-san-ve-tic-yazilim-muhendisi-2759875
Software Developer,Broadangle Yazýlým A.Þ.,"programming , software development , javascript , azure , mvc , design , troubleshooting , technical support , sql , engineering",https://www.kariyer.net//is-ilani/broadangle-yazilim-a-s-software-developer-3449183
Software Engineer,Arpaþ,"ajax , web service , html5 , asp , javascript , xml , erp , research , sql , engineering",https://www.kariyer.net//is-ilani/arpas-software-engineer-3364919
Full Stack Developer,ÇUHADAROÐLU METAL SAN. VE PAZ. A.Þ,"javascript , bootstrap , cs , html , sql",https://www.kariyer.net//is-ilani/cuhadaroglu-metal-san-ve-paz-a-s-full-stack-developer-3435482
Yazýlým Mühendisi,Mesa Ýmalat San. ve Tic. A.þ.,"javascript , mvc , cs , html , erp , sql",https://www.kariyer.net//is-ilani/mesa-imalat-san-ve-tic-a-s-yazilim-muhendisi-3340751
Yazýlým Mühendisi,EMSE A.Þ.,"linux , sql",https://www.kariyer.net//is-ilani/emse-a-s-yazilim-muhendisi-3439420
Software & Automation Engineer,BOSCH TERMOTEKNÝK SAN.TÝC.A.Þ.,"electronics , project management , delphi , mechatronics , spark , manufacturing , design , labview , technical support , management , assembly , sql , engineering",https://www.kariyer.net//is-ilani/bosch-termoteknik-san-tic-a-s-software-automation-engineer-3447071
Yazýlým Mühendisi,CS TECH,"cuda , design , opencl , opengl",https://www.kariyer.net//is-ilani/cs-tech-yazilim-muhendisi-3446904
Yazýlým Mühendisi (Seviye 2),Yýldýz Demir Çelik Sanayi A.Þ,"ajax , html5 , javascript , cs , java , sql",https://www.kariyer.net//is-ilani/yildiz-demir-celik-sanayi-a-s-yazilim-muhendisi-seviye-2-3444359
Software Developer,Tchealth Bilgi Teknolojileri Ltd.Þti,"git , programming , coding , software development , javascript , wpf , mvc , html , design , microsoft , sql , postgresql , engineering",https://www.kariyer.net//is-ilani/tchealth-bilgi-teknolojileri-ltd-sti-software-developer-3444109
AR-GE Data Uzmaný,Balýkesir Elektromekanik Sanayi Tesisleri A.Þ.,excel,https://www.kariyer.net//is-ilani/balikesir-elektromekanik-sanayi-tesisleri-a-s-ar-ge-data-uzmani-3438007
